,Address,Neighborhood,Bedrooms,Bathrooms,Square Meters,Building Age,Garden,Garage,Floors,Property Type,Heating Type,Balcony,Interior Style,View,Materials,Building Status,Price
219,122 Fleet Street,Westminster,1,2,1.0748931136693038,-1.100104872,0,1,2,1,3,2,2,1,0,2,2.2473243174168225
220,27 Park Lane,Chelsea,1,1,0.9197933425660422,0.6551070305740465,1,0,1,2,1,1,3,0,3,2,1.6010682847395437
221,34 Bond Street,Shoreditch,2,1,0.8336268030642302,0.070036396,1,1,2,1,0,2,2,4,0,2,0.3836493499425574
222,53 Camden High Street,Islington,3,1,0.6785270319609685,-1.478679988,0,1,1,2,3,1,3,4,0,1,-0.030045533
223,116 Oxford Street,Marylebone,2,1,1.5401924269790885,1.3090095039602765,0,1,2,1,2,0,3,1,3,2,1.9844983604653235
224,130 Bond Street,Shoreditch,4,2,0.023661332,-0.790361595,1,0,3,2,0,1,2,1,2,0,-0.582550068
225,160 Fleet Street,Marylebone,3,2,-0.252071595,1.0680980663969286,1,1,2,1,3,1,1,4,0,1,0.20956982001364252
226,195 King's Road,Chelsea,2,1,0.7302269556620558,0.7927707091816738,1,0,3,2,0,2,1,0,2,2,1.4008199365860206
227,125 Oxford Street,Islington,3,1,-1.475636456,-0.23970688,0,0,1,0,3,0,2,0,1,1,-1.511883309
228,78 Regent Street,Soho,4,3,0.3683274897544454,-0.893609354,0,0,1,1,2,1,1,3,2,2,0.6294086863127901
229,180 Park Lane,Shoreditch,1,3,-1.165436913,-1.513095907,1,1,1,1,3,0,0,0,0,2,-1.068152312
230,37 Park Lane,Kensington,5,2,-0.510571213,-0.755945675,0,1,2,1,0,2,2,2,3,2,0.49970236989516725
231,171 King's Road,Marylebone,1,2,-1.044803758,-1.100104872,1,0,1,0,0,0,2,1,3,0,-1.081804471
232,56 Camden High Street,Greenwich,3,1,0.6095938003595189,-0.928025273,1,1,2,2,2,1,1,2,3,0,-0.410517394
233,48 Baker Street,Greenwich,1,3,0.04089464,0.5862751912702329,1,0,2,0,3,1,0,2,0,2,-0.941479303
234,102 Bond Street,Shoreditch,3,1,1.0404264978685789,0.8271866288335807,1,1,2,0,0,1,0,1,2,2,-0.342250912
235,87 Park Lane,Islington,1,3,0.1959944107508214,0.13886823579544397,0,1,3,2,1,1,0,1,1,0,-0.335879374
236,176 Oxford Street,Chelsea,1,1,-1.475636456,-0.480618318,1,0,2,2,3,1,3,2,1,0,-0.92934266
237,113 Strand,Greenwich,3,3,-1.11373699,-0.824777514,0,1,3,0,1,1,1,4,2,0,-1.449685717
238,25 Park Lane,Chelsea,1,2,0.2304610265515462,1.205761745004556,0,1,1,1,1,1,3,1,3,0,1.6147215812045566
239,11 Piccadilly Circus,Islington,3,3,-1.11373699,-0.170875041,0,0,2,0,2,0,1,4,1,1,-1.320737159
240,183 Fleet Street,Greenwich,1,2,0.5406605687580693,-1.30660039,1,1,2,0,3,2,0,2,1,2,-0.721509906
241,21 Baker Street,Westminster,1,3,1.0576598057689415,-0.790361595,0,1,2,2,2,2,0,0,0,2,1.3625907064839844
242,83 Park Lane,Islington,2,2,-0.734604216,0.20770007509925764,0,0,2,1,3,0,0,2,1,2,-0.633521237
243,177 Baker Street,Chelsea,2,1,1.2644595005732902,0.3797796733587918,1,0,2,0,0,0,0,2,2,1,1.288559119726568
244,58 Fleet Street,Islington,1,3,0.16152779495009661,-0.30853872,0,1,2,2,0,2,2,0,1,2,-0.357724648
245,58 Oxford Street,Camden,1,3,1.2472261926729278,-1.409848149,0,1,3,2,2,2,1,1,2,0,0.5324691436364929
246,10 Park Lane,Westminster,2,1,0.4027941055551702,0.20770007509925764,1,1,1,1,2,0,3,2,1,2,1.4486064742135658
247,141 King's Road,Kensington,4,1,1.6263589664809006,-0.170875041,0,0,3,2,0,2,3,1,3,2,2.1253537312213346
248,2 Strand,Soho,4,2,1.1955262689718407,-0.30853872,0,1,3,1,3,0,3,4,3,0,1.3939932883535142
249,2 Oxford Street,Islington,4,2,1.385092655875827,0.6206911109221397,0,0,2,2,2,2,2,1,0,2,0.4177825911050897
250,17 King's Road,Camden,1,1,-0.838004063,0.7239388698778602,0,0,1,0,0,1,3,1,2,1,-1.098492212
251,189 Fleet Street,Soho,5,1,0.5751271845587942,1.0336821467450217,1,0,2,1,3,1,2,1,0,0,0.8205548368229711
252,104 Regent Street,Greenwich,5,2,-1.337769992,-0.824777514,0,1,3,2,0,1,2,1,3,1,-1.439065728
253,28 Fleet Street,Kensington,2,1,-0.476104597,-0.2741228,1,1,2,2,2,1,3,2,3,1,0.015464317494669949
254,2 Strand,Soho,5,3,0.5061939529573446,1.3090095039602765,0,1,1,2,2,0,2,4,0,0,0.1865867709642041
255,22 Baker Street,Kensington,4,2,-0.441637982,1.171345825352649,0,0,3,1,2,1,3,3,1,0,0.5861732475069158
256,111 King's Road,Notting Hill,3,1,1.2472261926729278,0.551859272,1,1,2,1,2,1,1,1,3,1,1.9469517951865378
257,107 Piccadilly Circus,Kensington,3,2,1.6263589664809006,1.0336821467450217,1,0,2,0,3,1,2,1,2,2,1.4220576392373483
258,12 Oxford Street,Soho,2,1,0.6095938003595189,0.9992662270931149,1,0,1,1,0,1,0,4,2,1,0.852412529
259,166 Piccadilly Circus,Camden,5,1,1.4195592716765517,-1.065688952,1,0,2,0,0,2,0,3,2,2,0.19326095738618457
260,162 Strand,Kensington,5,1,0.8508601109645926,-0.411786479,0,0,2,2,1,2,3,1,3,1,1.3471158327155976
261,12 Camden High Street,Camden,2,2,-0.631204368,1.4466731825679038,1,1,2,2,3,2,0,4,2,0,-0.757312262
262,29 Fleet Street,Marylebone,4,1,-1.596269611,0.6551070305740465,0,1,3,1,1,2,0,1,1,1,-1.121626585
263,91 Piccadilly Circus,Shoreditch,3,1,1.0404264978685789,0.001204557,0,1,2,2,3,1,1,0,0,2,0.008183697
264,198 Oxford Street,Shoreditch,3,2,0.8336268030642302,-1.203352631,0,0,1,1,1,0,0,0,1,0,0.3836493499425574
265,146 Regent Street,Camden,5,1,-1.44116984,-1.30660039,0,0,3,0,1,0,1,0,2,1,-1.443616827
266,133 King's Road,Islington,3,2,-0.062505208,-0.721529756,1,0,3,1,0,2,3,1,3,1,-0.101042675
267,183 Strand,Soho,3,3,0.7474602635624181,0.964850307,1,1,2,1,2,2,2,3,1,1,0.9798432955814553
268,31 Camden High Street,Notting Hill,3,2,-1.079270374,1.171345825352649,1,1,3,1,3,2,2,2,1,1,-0.510641569
269,36 King's Road,Shoreditch,1,2,-0.78630414,1.2745935843083696,1,0,1,0,3,2,2,2,0,1,-1.226681875
270,143 Park Lane,Kensington,5,2,-0.527804521,0.8960184681373944,0,1,2,2,2,2,0,3,2,0,-0.036418209
271,186 King's Road,Soho,3,3,-1.165436913,0.75835479,0,1,2,1,0,2,1,3,0,0,-0.788258597
272,48 King's Road,Marylebone,3,3,1.4195592716765517,1.1369299057007423,1,1,1,2,3,1,1,3,1,0,1.0731408214257103
273,96 King's Road,Westminster,4,1,1.6608255822816254,1.6875846201312517,0,0,2,0,1,0,2,1,2,0,1.2642869719358913
274,30 Park Lane,Soho,2,2,1.3333927321747399,-1.30660039,0,0,1,0,0,1,2,3,1,1,0.31614062557130096
275,81 Regent Street,Marylebone,1,3,-0.665670984,0.6551070305740465,0,1,2,2,1,1,2,2,1,1,-0.578908051
276,153 Regent Street,Soho,2,3,-0.820770755,0.31094783405497817,0,0,2,2,2,1,1,0,3,2,-0.794630135
277,59 Bond Street,Greenwich,4,3,0.5923604924591566,1.1369299057007423,0,1,3,0,1,2,0,2,1,2,-0.698754412
278,97 Fleet Street,Greenwich,5,3,0.954259958,-1.444264068,1,0,3,1,0,2,2,0,1,1,0.23801418764908613
279,162 Piccadilly Circus,Soho,2,1,0.7474602635624181,-0.205290961,0,0,2,2,1,1,1,2,3,0,0.3649898447737064
280,192 Oxford Street,Chelsea,5,1,-0.389938058,1.0336821467450217,1,0,2,2,1,1,0,1,2,0,0.21753424295156673
281,11 Bond Street,Chelsea,2,2,-1.165436913,-0.30853872,0,0,1,0,3,1,2,4,2,1,-0.850457326
282,57 Regent Street,Camden,1,3,1.385092655875827,-0.2741228,0,1,3,2,1,0,3,2,0,0,0.6271331369019546
283,173 Camden High Street,Marylebone,2,2,-1.647969535,-1.616343666,1,0,1,2,0,1,0,2,2,2,-1.357145949
284,85 Oxford Street,Notting Hill,4,3,-0.648437676,-0.446202398,0,0,3,0,1,2,2,1,1,1,-0.735163202
285,27 Oxford Street,Kensington,4,3,-0.441637982,0.48302743231451234,0,0,1,0,3,2,2,0,2,0,-0.307359913
286,100 Fleet Street,Camden,1,3,-1.699669458,0.31094783405497817,0,1,2,2,1,1,3,3,2,1,-1.490949392
287,45 Park Lane,Notting Hill,1,2,1.3678593479754646,0.41419559301069864,1,0,2,0,3,2,3,1,1,2,0.68477963
288,97 Strand,Marylebone,2,2,-0.321004826,1.4810891022198105,0,0,2,1,2,0,2,4,2,1,0.14130333768857786
289,41 Baker Street,Islington,4,2,1.2816928084736525,-0.067627282,0,1,2,2,0,0,2,1,3,2,0.3522467680730276
290,32 Fleet Street,Greenwich,1,3,-0.78630414,-1.513095907,1,1,2,1,1,2,3,3,2,0,-0.911138265
291,26 Fleet Street,Chelsea,2,1,0.7991601872635054,1.584336861175531,1,0,2,1,3,1,3,2,3,2,2.3656528867802677
292,88 Piccadilly Circus,Chelsea,4,3,-0.148671747,-1.444264068,1,0,3,2,3,1,2,0,0,1,0.4723957769651414
293,96 Fleet Street,Soho,5,1,1.6780588901819877,0.345363754,0,1,3,2,1,1,1,1,2,1,1.053115986610358
294,157 Fleet Street,Marylebone,5,1,1.0921264215696662,0.964850307,0,0,2,1,1,1,1,2,3,0,1.5407662253524033
295,147 Bond Street,Greenwich,2,3,1.4540258874772765,1.618752780827438,0,1,3,1,1,1,1,0,2,2,0.567968852
296,61 Baker Street,Marylebone,2,3,-1.130970298,-1.27218447,0,0,2,0,1,0,0,2,3,1,-1.138693206
297,75 King's Road,Notting Hill,5,3,-0.993103834,-1.065688952,1,1,3,2,1,1,0,4,3,1,-0.754581603
298,167 Regent Street,Westminster,2,3,0.9714932662671294,0.035620476839723456,1,1,1,0,0,1,0,1,3,2,0.7181551133353742
299,99 Bond Street,Greenwich,1,3,0.04089464,0.070036396,1,1,3,0,0,1,0,1,1,0,-0.941479303
300,37 Piccadilly Circus,Notting Hill,3,3,-1.475636456,0.9992662270931149,1,1,3,0,3,0,0,3,2,1,-1.317703851
301,167 Bond Street,Chelsea,4,3,-0.769070832,-0.205290961,1,0,2,2,3,2,2,4,2,2,-0.182962453
302,39 Piccadilly Circus,Shoreditch,5,2,-0.562271137,1.1025139860488353,0,1,2,0,2,0,3,2,1,0,-1.118213261
303,9 Camden High Street,Notting Hill,4,3,-1.079270374,1.3434254236121832,1,0,2,0,3,0,0,1,0,2,-1.038569032
304,97 Regent Street,Greenwich,3,2,0.092594563,-0.583866077,1,1,3,1,1,2,3,3,0,2,-0.330873165
305,76 Camden High Street,Kensington,4,2,0.264927642,-0.377370559,0,1,3,0,2,1,3,0,1,2,0.2835251758657959
306,64 Strand,Chelsea,4,1,-0.7001376,-0.687113836,1,1,1,1,1,2,2,4,1,0,0.38592489935339286
307,60 Baker Street,Chelsea,3,3,-1.062037066,-1.581927747,1,1,2,1,3,1,0,3,1,1,-0.091940477
308,100 Oxford Street,Westminster,4,1,0.6095938003595189,-1.134520791,1,0,3,2,2,0,0,0,0,0,0.936607857
309,195 Regent Street,Greenwich,5,1,-1.010337142,0.964850307,1,0,1,2,1,1,0,2,0,1,-1.266123973
310,67 Strand,Westminster,2,2,0.8508601109645926,1.1369299057007423,1,0,3,0,3,2,3,3,0,2,0.6225820380802837
311,185 Bond Street,Westminster,2,1,-1.699669458,1.205761745004556,1,1,1,1,2,1,1,3,1,2,-1.049946779
312,53 Bond Street,Islington,3,1,-1.079270374,-1.065688952,1,1,2,2,2,0,2,2,1,0,-1.144154524
313,116 Oxford Street,Notting Hill,1,1,-1.044803758,1.2745935843083696,1,0,1,2,2,0,2,0,1,1,-0.798272152
314,84 Regent Street,Shoreditch,3,2,-1.665202842,-0.824777514,1,1,2,1,2,1,0,2,0,0,-1.431101305
315,171 Oxford Street,Notting Hill,4,1,1.3333927321747399,1.6531687004793447,0,1,1,1,0,0,3,0,3,1,2.037972633845252
316,57 Strand,Shoreditch,5,1,-0.458871289,1.5155050218717174,1,0,3,2,2,0,1,1,3,1,-0.862896617
317,104 Piccadilly Circus,Chelsea,3,3,1.0748931136693038,0.7927707091816738,0,0,2,2,0,2,3,1,1,2,1.7649078423196989
318,150 King's Road,Notting Hill,3,1,0.6268271082598814,0.5862751912702329,1,1,2,2,0,1,3,4,1,0,0.6143900602012758
319,164 Fleet Street,Camden,5,1,0.178761103,0.3797796733587918,0,0,2,2,2,1,3,1,1,2,-0.201167986
320,33 Regent Street,Camden,1,3,0.9887265741674918,1.3434254236121832,0,1,1,0,0,0,0,3,0,2,-0.053257275
321,140 Fleet Street,Islington,3,3,-0.114205131,-1.065688952,1,1,1,1,3,0,2,0,3,1,-0.142002564
322,94 Oxford Street,Notting Hill,1,2,0.075361255,-1.100104872,1,1,2,2,3,0,1,2,1,2,0.14835640308746248
323,7 Regent Street,Shoreditch,4,2,1.6091256585805382,-1.581927747,0,1,2,1,1,1,2,2,1,0,0.9468478291243407
324,192 Strand,Chelsea,3,1,-0.613971061,0.6551070305740465,1,1,2,1,2,2,1,2,2,2,0.49970236989516725
325,8 Strand,Chelsea,1,1,-1.699669458,-1.581927747,1,0,2,2,3,2,3,2,1,2,-1.165999799
326,159 King's Road,Greenwich,2,1,0.8336268030642302,0.5174433519664192,1,0,2,0,1,1,1,2,2,0,-0.592561347
327,77 Fleet Street,Camden,2,1,0.42002741345553257,0.8271866288335807,0,1,1,0,2,0,3,2,1,1,-0.378659703
328,57 Bond Street,Kensington,4,3,1.0576598057689415,-0.342954639,0,1,2,1,3,2,1,0,1,2,2.466914835562447
329,91 Camden High Street,Camden,1,3,1.3678593479754646,1.5155050218717174,0,0,3,1,1,2,3,1,2,0,1.292731339571335
330,108 Camden High Street,Greenwich,4,2,-0.78630414,1.618752780827438,1,0,2,0,1,1,2,3,1,1,-1.305567209
331,116 Fleet Street,Soho,3,1,-1.165436913,0.9992662270931149,1,1,1,1,0,0,2,3,0,1,-0.788258597
332,123 Fleet Street,Camden,2,2,1.6608255822816254,1.3778413432640901,1,0,1,2,1,0,2,0,1,0,0.8164588478834672
333,100 Baker Street,Chelsea,4,3,1.1093597294700286,-0.996857113,1,1,2,1,3,0,3,0,1,2,2.7752517807306556
334,180 Strand,Camden,4,1,-0.217604979,-1.23776855,0,1,3,1,1,1,2,1,2,2,-0.068047208
335,18 Piccadilly Circus,Chelsea,1,1,-0.217604979,-0.515034238,0,0,2,0,1,0,3,1,3,2,-0.016089588
336,106 King's Road,Westminster,1,3,-1.268836761,-0.170875041,0,1,3,2,0,2,0,3,2,2,-0.849243321
337,131 Regent Street,Westminster,1,1,-0.803537447,0.8960184681373944,1,0,3,0,1,0,1,2,0,0,-0.688134423
338,90 Piccadilly Circus,Marylebone,2,2,-0.165905055,1.3434254236121832,0,1,2,1,1,1,3,0,3,1,0.29490292291997333
339,122 Bond Street,Shoreditch,2,3,0.6095938003595189,0.551859272,1,1,1,1,2,0,1,2,1,0,0.22094642929311453
340,36 Strand,Camden,3,3,1.0059598820678541,0.5174433519664192,1,0,3,1,2,0,1,4,1,0,0.9821188449922909
341,51 Baker Street,Chelsea,5,2,-0.131438439,0.41419559301069864,1,1,3,1,1,2,1,2,1,0,1.136856204929104
342,123 Baker Street,Marylebone,5,2,1.5401924269790885,0.9992662270931149,1,0,3,0,2,1,1,2,1,1,0.6248575874911191
343,111 Fleet Street,Westminster,4,2,-1.251603453,-0.618281997,1,1,3,0,0,1,0,2,0,1,-1.043120131
344,10 Piccadilly Circus,Soho,5,3,0.2132277186511838,-1.547511827,0,1,1,0,1,1,0,2,3,0,-0.374108604
345,164 Strand,Soho,1,3,0.9714932662671294,1.205761745004556,0,1,1,1,1,2,0,2,2,2,1.1869182919674848
346,38 Oxford Street,Westminster,2,1,0.69576034,-0.721529756,1,0,1,2,1,1,3,2,3,1,1.0185276355656585
347,132 Regent Street,Westminster,5,3,-0.855237371,-0.136459121,0,1,2,2,1,1,0,1,0,0,-0.456028383
348,20 Fleet Street,Kensington,1,2,0.9025600346656798,1.171345825352649,0,0,3,2,1,1,3,1,1,1,1.398998359282647
349,56 Camden High Street,Soho,5,2,-0.148671747,1.618752780827438,1,0,2,2,3,2,2,1,2,1,-0.297650144
350,96 King's Road,Soho,3,2,0.9714932662671294,1.584336861175531,1,0,2,0,3,2,3,2,3,1,0.093136783
351,127 Strand,Greenwich,5,2,0.9197933425660422,-0.480618318,1,1,3,0,0,0,0,0,0,0,-0.554635903
352,76 King's Road,Camden,5,1,0.4717273371566198,-0.136459121,0,0,1,1,3,0,1,0,0,2,0.5235956387089399
353,80 Park Lane,Notting Hill,5,3,1.1438263452707533,-0.928025273,0,0,1,0,1,1,1,2,0,0,0.5270089628251932
354,129 Bond Street,Greenwich,2,1,-1.096503682,-0.033211362,0,0,2,0,2,2,1,4,1,0,-1.442100173
355,6 Camden High Street,Greenwich,3,2,-1.3550033,-1.134520791,0,0,2,1,1,2,1,1,1,2,-1.286603918
356,154 Fleet Street,Westminster,5,3,-1.475636456,-1.100104872,0,0,3,0,2,2,0,2,1,0,-1.220612985
357,97 Oxford Street,Marylebone,1,1,1.5918923506801756,0.6895229502259533,1,1,1,2,1,2,0,3,0,1,1.2096737860758395
358,83 Fleet Street,Notting Hill,3,2,0.058127948,-1.685175506,1,1,3,1,1,2,1,2,1,0,0.6908485204053483
359,103 Park Lane,Marylebone,3,2,0.6440604161602438,1.5499209415236241,1,1,2,1,2,0,3,4,0,2,1.097034090239483
360,120 Regent Street,Notting Hill,3,1,0.5061939529573446,-1.100104872,1,1,2,2,2,2,0,2,1,1,0.512445447
361,142 Fleet Street,Greenwich,1,3,1.0231931899682165,-1.27218447,0,1,1,0,2,1,3,3,0,2,-0.509124915
362,97 King's Road,Westminster,5,1,-1.44116984,-1.27218447,0,1,1,1,3,2,0,0,2,2,-0.742747608
363,126 Strand,Soho,1,1,-0.389938058,0.5862751912702329,0,1,3,2,0,0,2,0,2,2,-0.476053217
364,198 Park Lane,Camden,4,1,-0.458871289,-1.065688952,0,1,1,1,1,1,1,1,1,2,-0.275122204
365,4 Oxford Street,Kensington,5,2,0.075361255,0.9992662270931149,1,1,1,2,0,2,1,1,3,1,0.5688779342098607
366,93 Piccadilly Circus,Kensington,4,1,-0.37270475,0.5174433519664192,1,0,2,1,3,1,1,0,0,0,0.6726441251186643
367,71 King's Road,Kensington,1,1,-1.320536684,-0.859193434,0,0,2,2,1,2,2,3,2,1,-0.831949145
368,105 Camden High Street,Chelsea,2,2,1.5401924269790885,0.070036396,0,0,3,2,0,2,3,4,1,0,2.256426515060164
369,55 Regent Street,Camden,4,1,-0.269304903,-1.27218447,1,1,1,1,2,2,3,0,0,2,-0.112420422
370,198 Strand,Chelsea,1,2,0.6785270319609685,-1.031273032,1,0,2,1,1,1,0,3,1,0,2.2063644280217836
371,122 Camden High Street,Kensington,4,3,-0.665670984,0.31094783405497817,1,0,1,2,3,0,1,1,1,2,-0.174770475
372,148 Park Lane,Shoreditch,4,2,1.7125255059827125,1.4810891022198105,0,1,2,0,1,2,1,2,3,2,-0.016847346
373,33 Bond Street,Soho,4,1,0.04089464,-0.583866077,1,1,1,1,3,1,1,1,0,2,0.32676061467167017
374,68 King's Road,Chelsea,3,1,1.7125255059827125,-0.411786479,0,1,3,2,1,1,3,0,0,1,2.4384704679270035
375,111 Baker Street,Greenwich,4,2,-1.665202842,-1.23776855,0,1,2,1,1,2,0,2,3,0,-1.491403365
376,59 Fleet Street,Shoreditch,5,1,1.3333927321747399,0.31094783405497817,0,1,2,0,2,2,0,0,0,2,-0.200409091
377,157 Baker Street,Islington,5,1,0.5923604924591566,0.31094783405497817,0,1,2,2,2,0,2,3,3,2,-0.084658719
378,129 Strand,Marylebone,3,1,-1.596269611,1.1025139860488353,0,0,2,2,2,2,1,1,3,2,-1.31618606
379,162 Fleet Street,Marylebone,5,2,-0.028038592,-1.547511827,0,1,2,2,1,0,1,0,3,0,-0.073736082
380,166 Park Lane,Camden,4,2,1.3678593479754646,-0.067627282,1,1,2,1,3,0,0,3,2,1,1.292731339571335
381,8 Oxford Street,Notting Hill,5,2,1.3678593479754646,1.1369299057007423,1,1,1,1,3,0,2,1,3,0,2.074382562193325
382,68 Oxford Street,Shoreditch,4,3,1.695292198,-0.411786479,0,1,2,2,2,2,3,3,3,2,0.38865442087169005
383,57 Camden High Street,Soho,1,2,0.6440604161602438,1.6531687004793447,1,1,1,1,1,2,2,1,3,2,0.8842702203263648
384,195 Bond Street,Marylebone,1,1,-1.11373699,0.13886823579544397,1,0,1,1,0,2,1,0,2,1,-0.643761209
385,151 Regent Street,Camden,4,3,0.178761103,-1.513095907,0,0,3,2,0,1,3,1,1,2,-0.201167986
386,68 Baker Street,Chelsea,3,2,-0.0452719,-0.583866077,1,0,3,1,1,2,3,0,0,2,1.2506336754708784
387,178 Strand,Westminster,2,3,0.092594563,-0.859193434,1,1,3,1,0,1,1,2,1,2,1.0799674696582169
388,25 Regent Street,Marylebone,2,2,-0.924170603,0.070036396,0,0,2,0,1,2,3,0,2,1,-1.002160241
389,81 Baker Street,Notting Hill,1,1,-0.820770755,-0.30853872,0,1,3,2,0,2,0,4,1,2,-0.608945303
390,173 Bond Street,Notting Hill,4,1,1.4195592716765517,-1.616343666,0,1,2,2,3,1,3,1,2,0,1.2843106689765382
391,50 Park Lane,Soho,3,2,-1.062037066,0.070036396,1,1,1,1,0,1,1,4,0,2,-0.692685521
392,109 Bond Street,Kensington,1,1,-0.838004063,1.2745935843083696,1,1,2,2,1,2,3,1,0,1,-0.347713368
393,158 King's Road,Greenwich,5,1,1.471259195377639,-0.824777514,0,1,1,0,2,2,0,0,0,0,-0.311911012
394,23 Oxford Street,Westminster,2,2,-0.096971824,-1.375432229,1,1,2,1,0,2,0,4,1,2,0.8546880779855035
395,18 Camden High Street,Marylebone,5,2,-1.199903529,1.2745935843083696,1,0,1,1,1,0,3,1,0,2,-0.729094312
396,111 Fleet Street,Notting Hill,3,2,-1.492869763,0.8271866288335807,1,0,3,2,3,0,2,1,1,1,-1.176922436
397,64 Fleet Street,Westminster,5,3,-0.7001376,1.0336821467450217,0,0,3,1,0,0,1,1,0,2,0.13789001357232464
398,185 Fleet Street,Notting Hill,3,2,0.2304610265515462,0.75835479,1,1,3,0,1,0,1,2,3,0,-0.116213762
399,98 Fleet Street,Marylebone,3,2,0.04089464,-0.205290961,0,0,3,1,1,1,3,1,3,2,0.49970236989516725
400,195 King's Road,Greenwich,4,1,1.3333927321747399,-1.23776855,0,1,3,2,1,1,2,0,2,1,-0.028225093
401,116 Regent Street,Greenwich,4,3,-0.321004826,-0.102043202,0,0,1,2,1,2,0,3,1,0,-0.902036067
402,99 Piccadilly Circus,Westminster,2,3,-0.303771518,0.7239388698778602,1,1,1,0,3,2,3,2,1,2,-0.292188825
403,108 King's Road,Greenwich,3,2,-0.28653821,-1.23776855,0,0,2,2,2,0,0,2,3,2,-0.883831672
404,112 Park Lane,Kensington,5,2,1.1093597294700286,-1.031273032,1,0,3,1,3,1,2,3,2,2,2.5317679937712585
405,64 Piccadilly Circus,Kensington,1,1,0.2132277186511838,-0.824777514,0,0,3,1,0,0,3,1,3,0,1.4076465848185271
406,160 Oxford Street,Chelsea,4,1,1.298926116374015,-0.687113836,1,1,1,1,1,2,0,4,3,0,3.0255622159225593
407,99 Bond Street,Kensington,4,2,1.2644595005732902,-0.824777514,1,0,1,2,1,2,1,0,1,0,1.7621760452519908
408,2 Baker Street,Greenwich,4,2,0.6785270319609685,-0.515034238,1,0,3,1,1,2,3,4,1,0,0.055970235
409,132 Park Lane,Shoreditch,2,1,-0.717370908,-1.23776855,0,0,3,1,2,1,0,4,1,1,-0.742747608
410,163 Regent Street,Kensington,2,3,-0.165905055,-0.962441193,0,1,1,1,0,1,1,0,3,2,0.9320567579539101
411,163 Strand,Soho,2,3,0.3855607976548078,-1.685175506,1,0,2,0,3,0,2,4,0,2,-0.267916677
412,158 Oxford Street,Camden,4,1,1.178292961071478,-1.203352631,1,0,1,1,0,1,2,2,2,2,1.1300295566965974
413,115 Baker Street,Soho,4,1,-1.02757045,0.551859272,1,1,2,0,3,2,2,1,3,2,-1.138693206
414,144 Strand,Kensington,1,3,-1.561802995,1.5499209415236241,0,1,1,2,0,0,0,2,1,0,-1.07406874
415,71 Oxford Street,Kensington,2,2,-1.251603453,-0.067627282,1,0,1,0,2,1,0,3,1,2,-0.984714742
416,117 Baker Street,Kensington,5,3,-1.492869763,0.8616025484854876,1,0,1,1,1,2,0,4,0,0,-0.732507636
417,39 Piccadilly Circus,Notting Hill,1,3,0.8508601109645926,-0.962441193,0,0,3,1,3,1,1,1,1,2,1.528250703592808
418,127 Camden High Street,Notting Hill,5,2,-0.613971061,0.6206911109221397,1,1,3,0,1,1,1,2,2,1,-0.710889917
419,12 Park Lane,Camden,2,1,-0.562271137,-1.23776855,0,0,2,2,3,1,1,1,0,0,-0.709980835
420,23 Fleet Street,Camden,5,2,-0.941403911,-0.583866077,0,0,2,1,3,0,3,0,1,0,-0.689272197
421,171 Fleet Street,Kensington,4,1,0.8336268030642302,0.10445231614353713,0,0,3,2,2,1,3,0,3,0,1.3298227949679535
422,184 Park Lane,Chelsea,5,2,-0.510571213,1.6875846201312517,0,1,1,2,0,0,3,1,3,2,0.090103476
423,5 Piccadilly Circus,Soho,1,2,-1.475636456,0.3797796733587918,1,0,2,1,3,2,2,3,0,0,-1.074977822
424,167 Park Lane,Camden,5,2,1.5401924269790885,-1.650759586,1,0,2,2,2,2,0,3,0,1,0.7336288493290555
425,68 Baker Street,Westminster,3,2,-1.182670221,-0.583866077,1,0,2,1,3,0,0,3,3,0,-0.435548438
426,36 Bond Street,Soho,2,1,-0.148671747,-1.478679988,0,1,1,0,1,1,0,1,0,2,-0.597112446
427,143 Regent Street,Camden,1,2,1.3161594242743773,1.5155050218717174,0,0,1,0,1,0,3,0,2,1,0.13409667270446188
428,147 Park Lane,Kensington,2,1,-0.37270475,1.3090095039602765,0,0,2,0,3,2,1,2,3,0,-0.249712282
429,164 Regent Street,Westminster,3,2,0.7302269556620558,-0.515034238,0,0,1,1,0,0,1,3,0,0,1.8377254234664344
430,137 Strand,Marylebone,2,2,1.0921264215696662,0.964850307,0,0,3,0,1,1,0,2,2,2,0.32903616408250563
431,62 Bond Street,Camden,4,3,-1.665202842,1.4122572629159968,1,1,3,0,0,2,1,4,2,0,-1.57180649
432,172 Fleet Street,Soho,4,1,1.695292198,0.48302743231451234,1,0,3,2,3,2,0,0,0,2,1.0658590633110367
433,192 Regent Street,Chelsea,4,2,1.0921264215696662,-0.549450157,0,1,3,2,3,0,0,3,0,2,1.7831122376063826
434,191 Strand,Marylebone,3,2,-1.320536684,1.5155050218717174,1,0,3,2,3,2,0,2,3,1,-1.097733317
435,75 King's Road,Westminster,1,2,-1.68243615,-1.547511827,0,0,3,2,0,0,0,4,2,2,-1.242458259
436,176 Park Lane,Greenwich,2,2,-0.78630414,-0.067627282,0,1,3,1,2,1,0,0,0,1,-0.911138265
437,56 Piccadilly Circus,Camden,2,3,0.7129936477616934,-1.650759586,1,0,3,2,0,1,3,3,3,2,0.16565057860981217
438,61 Oxford Street,Islington,3,1,-1.372236608,-1.375432229,0,0,3,1,3,0,0,4,3,0,-1.138693206
